State,Year,Rabi,Kharif,Whole Year,Autumn,Summer,Winter
Andhra Pradesh,1997,26.713014492753626,28.508206521739133,27.55360507246377,25.321101449275364,31.011246376811595,23.80669565217391
Andhra Pradesh,1998,26.433572463768115,28.992119565217394,27.476565217391304,24.86466666666667,30.284202898550724,24.15184782608696
Andhra Pradesh,1999,26.880756038647345,28.08171739130435,27.445713768115944,24.636623188405796,31.100536231884057,24.905108695652174
Andhra Pradesh,2000,26.46145410628019,27.72907608695652,27.074336956521737,24.681057971014496,30.52595652173913,24.177347826086955
Andhra Pradesh,2001,26.4160845410628,27.759521739130438,27.01032608695652,24.82359420289855,29.76572463768116,24.6589347826087
Andhra Pradesh,2002,26.867652173913044,28.03126086956522,27.409550724637683,24.452246376811594,31.13140579710145,25.019304347826086
Andhra Pradesh,2003,26.360760869565222,28.460304347826085,27.27175362318841,24.521782608695652,30.733478260869564,23.827021739130437
Andhra Pradesh,2004,26.405787439613523,28.64654347826087,27.34714492753623,24.37710144927536,30.767739130434784,24.072521739130433
Andhra Pradesh,2005,26.503763285024153,28.06011956521739,27.189478260869564,23.991072463768116,31.019608695652174,24.500608695652176
Andhra Pradesh,2006,26.26947101449275,28.76501086956522,27.313822463768112,24.99476811594203,30.09423188405797,23.719413043478262
Andhra Pradesh,2007,26.76317149758454,28.261532608695653,27.41831884057971,24.442014492753625,30.95265217391304,24.894847826086956
Andhra Pradesh,2008,26.540917874396133,28.817478260869567,27.530304347826085,25.767289855072466,30.080942028985508,23.77452173913043
Andhra Pradesh,2009,27.30935024154589,28.937521739130435,27.989282608695653,24.816014492753624,31.4491884057971,25.662847826086956
Andhra Pradesh,2010,26.671995169082123,27.977663043478262,27.297634057971017,24.739434782608694,30.88955072463768,24.386999999999997
Andhra Pradesh,2011,26.90242270531401,27.695836956521738,27.327829710144925,25.032275362318842,30.703797101449275,24.97119565217391
Andhra Pradesh,2012,27.089132850241544,28.328913043478263,27.66480797101449,25.12372463768116,31.003521739130434,25.140152173913044
Andhra Pradesh,2013,27.014550724637683,28.44332608695652,27.68095652173913,24.876971014492756,31.433898550724635,24.732782608695654
Andhra Pradesh,2014,26.80463768115942,28.74739130434783,27.661739130434785,24.87782608695652,30.870434782608694,24.665652173913042
Andhra Pradesh,2015,26.92608695652174,28.68826086956522,27.55,25.26695652173913,30.821739130434782,24.689565217391305
Andhra Pradesh,2016,27.209130434782608,28.707391304347826,27.86521739130435,24.987391304347828,31.465652173913046,25.174347826086954
Andhra Pradesh,2017,26.971884057971014,28.681304347826085,27.626956521739128,24.982608695652175,31.34608695652174,24.58695652173913
Andhra Pradesh,2018,26.912173913043475,28.38086956521739,27.687391304347823,24.8,31.3495652173913,24.58695652173913
Andhra Pradesh,2019,26.943188405797102,28.695652173913043,27.75304347826087,24.8,31.248695652173915,24.780869565217394
Arunachal Pradesh,1997,15.588848484848484,23.2195,18.37646212121212,15.649878787878787,18.45657575757576,12.66009090909091
Arunachal Pradesh,1998,15.993035353535353,23.126704545454547,18.636333333333337,16.65909090909091,18.511878787878786,12.808136363636363
Arunachal Pradesh,1999,16.236777777777778,23.323022727272726,18.854893939393943,16.707272727272727,18.838696969696972,13.164363636363635
Arunachal Pradesh,2000,15.562590909090908,23.265704545454547,18.447863636363635,15.854000000000001,19.081999999999997,11.751772727272726
Arunachal Pradesh,2001,15.810282828282828,23.197772727272728,18.51244696969697,16.68078787878788,17.81578787878788,12.934272727272726
Arunachal Pradesh,2002,15.561762626262627,23.052977272727272,18.327454545454547,15.78148484848485,18.56548484848485,12.338318181818181
Arunachal Pradesh,2003,14.84541414141414,23.143795454545455,17.951598484848486,15.31369696969697,18.457818181818183,10.764727272727272
Arunachal Pradesh,2004,15.797454545454544,23.06443181818182,18.519651515151516,16.898939393939393,18.294424242424242,12.199
Arunachal Pradesh,2005,15.792474747474747,24.04777272727273,18.801651515151516,15.614606060606059,19.059272727272727,12.703545454545456
Arunachal Pradesh,2006,15.975065656565656,23.469909090909088,18.824863636363634,16.74830303030303,19.420030303030305,11.756863636363637
Arunachal Pradesh,2007,16.35031818181818,23.63477272727273,19.079174242424244,16.922636363636364,19.386454545454544,12.741863636363638
Arunachal Pradesh,2008,15.26418181818182,23.404999999999998,18.303992424242423,16.102151515151515,18.340666666666667,11.349727272727273
Arunachal Pradesh,2009,16.568267676767675,23.677704545454546,19.275030303030302,17.724,19.455939393939392,12.524863636363637
Arunachal Pradesh,2010,17.32471717171717,23.814409090909088,19.746787878787877,17.03978787878788,20.71572727272727,14.218636363636364
Arunachal Pradesh,2011,15.747510101010102,23.619954545454547,18.65702272727273,16.605393939393938,18.314,12.323136363636364
Arunachal Pradesh,2012,16.46259595959596,23.830931818181817,19.168545454545455,16.819363636363637,19.103878787878788,13.464545454545457
Arunachal Pradesh,2013,16.270146464646466,23.753772727272725,19.00723484848485,16.661151515151516,18.78969696969697,13.35959090909091
Arunachal Pradesh,2014,16.115454545454543,23.684545454545454,18.965454545454545,16.66909090909091,18.86090909090909,12.816363636363635
Arunachal Pradesh,2015,16.32969696969697,23.61,18.990909090909092,16.533636363636365,19.017272727272726,13.438181818181818
Arunachal Pradesh,2016,16.668787878787878,23.62181818181818,19.32,17.029090909090908,19.82090909090909,13.156363636363636
Arunachal Pradesh,2017,16.80181818181818,23.627272727272725,19.342727272727274,16.757272727272724,19.920909090909092,13.727272727272727
Arunachal Pradesh,2018,16.580606060606062,23.80272727272727,19.382727272727273,16.61,19.668181818181818,13.463636363636363
